bookid|bookname|author|genre|year|text|bookimage
1|Кошка дождя|Алла Лескова|Современная проза|2016|Алла Лескова и не думала становиться писателем. Она, филолог и психолог, когда-то бывшая ученицей Юрия Лотмана, известного российского литературоведа|uploads/upload_80465b9589eff3fbc93d2a861fd0f3c0.jpg
2|Любовь побеждает все|Мари Клармон|Любовный роман|2016|Йен Блейк и Ева Кэри с детства любили друг друга, однако их опекун предпочел выдать девушку за собственного сына Гамильтона. И как ни старался Йен сми|uploads/upload_a7072578137890014e6e894164952e0e.jpg
3|Мастер и Маргарита|Михаил Афанасьевич Булгаков|Мистика, ужасы, триллеры|1940|«Мастер и Маргарита» - одна из немногих тем, на которую говорят из поколения в поколение вот уже почти век. Любовь и ненависть, добро и зло… Причудлив|uploads/upload_9527655c4a6c9e9b3d964437ca8299ea.jpg
4|Три товарища|Эрих Мария Ремарк|Школьная классика, Проза XIX-XX веков|1936|«Мастер и Маргарита» - одна из немногих тем, на которую говорят из поколения в поколение вот уже почти век. Любовь и ненависть, добро и зло… Причудлив|uploads/upload_c28701c96f25ee1bf8ee4fa3f9b8a7db.jpg
5|Приключения Шерлока Холмса|Артур Конан Дойл (Конан-Дойль)|Детективы и боевики, Проза XIX-XX веков|1930|В книгу «Приключения Шерлока Холмса», написанную Артуром Конан Дойлом, вошли два романа о приключениях великого сыщика "Этюд в багровых тонах" |uploads/upload_b410054401df21b0b6b562d14a356987.jpg
6|Зеленая Миля|Стивен Эдвин Кинг|Мистика, ужасы, триллеры|1996|Начальником блока смертников тюрьмы «Холодная гора» много лет работает Пол Джейкомб. Пол провел много казней сам, что сделало его циником|uploads/upload_3cbeaf79d772971f682d6c2ccce73c8e.jpg
7|Рита Хейуорт или побег из Шоушенка|Стивен Эдвин Кинг|Мистика, ужасы, триллеры|1982|Повествование в произведении известного «короля ужасов» Стивена Кинга «Рита Хейуорт или побег из Шоушенка» (Rita Hayworth and the Shawshank Redemption|uploads/upload_22a571d4b979cfd42505625215cb3169.jpg
8|Пролетая над гнездом кукушки|Кен Кизи|Проза XIX-XX веков|1962|Роман американского писателя Кена Кизи «Пролетая над гнездом кукушки» (One Flew Over the Cuckoo's Nest) выдержал сотни переизданий и всегда оказывался|uploads/upload_5096217669e4bd8751bb0b491f4a1317.jpg
9|1984|Джордж Оруэлл|Фантастика и фентези|1949|Фантастический роман Джорджа Оруэлла «1984» рассказывает о Уинстоне Смите, который занимается переписыванием истории, исходя из партийных интересов во|uploads/upload_ac4ad09183012461f8a4b5e09bc07582.jpg
10|Дары волхвов|О.Генри (Оливер Генри, Уильям Сидни Портер)|Детская литература, Школьная классика|1906|О.Генри – псевдоним новеллиста Вильяма Сиднея Портера, который прославился своими увлекательными рассказами, полными смысла и житейского опыта|uploads/upload_e3a7c2f01fe2d1af0e04e508d279698a.jpg
